% Model:              quartz_bsm.mph
% Version:            COMSOL 6.0.0.405
% Date:               Dec 20 2023, 16:27
% Table:              Tabelle 3 - Punktauswertung 1
% pH                                              zeta (1), Punkt: 2                                SigS, Punkt: 2                                    fQ, Punkt: 2
5                                                 -0.005281516006909316                             0.0013722224776023988                             0.2609089228505343
5.1                                               -0.00629462580699454                              0.001703610916165949                              0.26870986536545716
5.2                                               -0.007442998493491739                             0.0021101860307549455                             0.2777285867776279
5.3                                               -0.008728387979759215                             0.0026072006557856767                             0.28804127378629507
5.4                                               -0.010149046547521393                             0.003212390444404784                              0.2997002505338518
5.5                                               -0.011699850821705021                             0.003946163342356561                              0.31272985003754145
5.6                                               -0.013372149129482883                             0.004831736971971972                              0.3271189794633382
5.7                                               -0.01515456974031071                              0.0058951416743813646                             0.3428214647525551
5.8                                               -0.01703332350229704                              0.0071650936334517485                             0.3597528125004908
5.9                                               -0.01899284062541335                              0.008672668034260015                              0.3777911904679253
6                                                 -0.021016350409902892                             0.010450755428611904                              0.39677999029517386
6.1                                               -0.02308631094833956                              0.012533306672258344                              0.416531400296066
6.2                                               -0.02518638212311928                              0.014954155496523479                              0.4368474210384128
6.3                                               -0.02729876691571323                              0.01774626496735548                               0.4574984511514478
6.4                                               -0.029407977079311223                             0.020940080178312715                              0.47826524510705815
6.5                                               -0.031499349481041924                             0.02456258076970652                               0.49893105816260375
6.6                                               -0.0335613274926012                               0.028635784561490244                              0.5193103097812296
6.7                                               -0.035581668494017865                             0.033176889280560215                              0.5392163590668908
6.8                                               -0.03755189287411368                              0.03819677640431029                               0.5585093915138393
6.9                                               -0.039464983324464145                             0.04370041715058213                               0.5770759593081596
7                                                 -0.041315767496976435                             0.04968696770042943                               0.5948335375514189
7.1                                               -0.04310047699228001                              0.0561503676249401                                0.6117258326975094
7.2                                               -0.04481783931711529                              0.06307948151539196                               0.6277316177055875
7.300000000000001                                 -0.04646658410590474                              0.07045982023924877                               0.6428392819381187
7.4                                               -0.04804707567733169                              0.0782736075872104                                0.6570601558699607
7.5                                               -0.049560425960101025                             0.08650084325838786                               0.6704180862880937
7.6                                               -0.05100838412091847                              0.09511998654532768                               0.682946563735736
7.7                                               -0.05239302433108068                              0.10410864806408539                               0.6946843951174174
7.800000000000001                                 -0.05371688422842919                              0.11344396482452028                               0.7056755768719888
7.9                                               -0.05498247042343714                              0.12310318724842767                               0.7159641175080709
8                                                 -0.05619297649919004                              0.1330636240117545                                0.7255990927134971
8.1                                               -0.057351221288334635                             0.14330333728592357                               0.7346254159493744
8.2                                               -0.05845982175835049                              0.15380116858400183                               0.7430851200394948
8.3                                               -0.05952133898868405                              0.1645367408959652                                0.7510183595986951
8.4                                               -0.06053829358449697                              0.17549048709804949                               0.7584634047358915
8.5                                               -0.06151312898805863                              0.18664367095528075                               0.7654563129643772
8.6                                               -0.062448177500234674                             0.19797838241368484                               0.7720306991310195
8.7                                               -0.06334564177078848                              0.2094775080428032                                0.7782176720984444
8.8                                               -0.06420758840444823                              0.2211246828299915                                0.7840458885133766
8.9                                               -0.0650359483472686                               0.23290422885501952                               0.7895416686426745
9                                                 -0.06583252052015941                              0.24480108518811491                               0.7947291394896212
