% Model:              montmorillonite_bsm.mph
% Version:            COMSOL 6.0.0.405
% Date:               Mar 19 2024, 16:53
% Table:              Tabelle 3 - Punktauswertung 1
% c0                     phib (1), Punkt: 2       Qb, Punkt: 2             fQ, Punkt: 2
0.001                    -0.1483645743811321      0.09017302732718768      0.7213842186175015
0.0011721022975334804    -0.14440093685946545     0.09015309000685898      0.7212247200548718
0.0013738237958832624    -0.140443490114386       0.09013382846617139      0.7210706277293711
0.0016102620275609393    -0.1364913459581342      0.09011396987653236      0.7209117590122589
0.0018873918221350976    -0.13254510506940512     0.09009369844512215      0.7207495875609772
0.00221221629107045      -0.1286054889760552      0.09007329565845289      0.7205863652676231
0.002592943797404667     -0.12467318775861003     0.0900529883869673       0.7204239070957384
0.0030391953823131978    -0.12074901047929111     0.09003309834918322      0.7202647867934657
0.003562247890262444     -0.11683386044492657     0.09001401748506889      0.7201121398805511
0.0041753189365604       -0.11292874053124619     0.0899962133940208       0.7199697071521663
0.004893900918477494     -0.10903479815455762     0.08998027446856768      0.7198421957485415
0.005736152510448681     -0.10515329151030423     0.0899668767248241       0.7197350137985928
0.006723357536499335     -0.10128563973859327     0.08995683441789884      0.7196546753431907
0.007880462815669913     -0.09743344612232081     0.0899511238886062       0.7196089911088496
0.009236708571873866     -0.09359849659471223     0.0899508827762842       0.7196070622102736
0.010826367338740546     -0.0897828094215124      0.08995746014340239      0.7196596811472191
0.01268961003167922      -0.08598872959290449     0.08997251084051545      0.7197800867241236
0.01487352107293511      -0.08221855397445677     0.08999762133825588      0.719980970706047
0.017433288221999882     -0.07847533097365977     0.09003510581820008      0.7202808465456007
0.020433597178569417     -0.07476195461530911     0.09008710034368618      0.7206968027494894
0.02395026619987486      -0.07108263936229235     0.09015702626504438      0.721256210120355
0.02807216203941177      -0.06744000542129303     0.09024668323458951      0.7219734658767161
0.03290344562312668      -0.0638395203065225      0.09036065338433878      0.7228852270747103
0.03856620421163472      -0.06028560475993339     0.09050241310683967      0.7240193048547173
0.04520353656360243      -0.05678361367794539     0.09067627716868022      0.7254102173494418
0.05298316906283707      -0.05333887206635055     0.09088641399529865      0.7270913119623892
0.06210169418915616      -0.049957914129913523    0.09113802364058236      0.7291041891246589
0.0727895384398315       -0.046647284334009276    0.09143610202738728      0.7314888162190982
0.08531678524172806      -0.04341403138511811     0.09178585963946946      0.7342868771157557
0.1                      -0.04026588245796119     0.09219280157050355      0.7375424125640284
