% Model:              quartz_bsm.mph
% Version:            COMSOL 6.0.0.405
% Date:               Dec 20 2023, 16:29
% Table:              Tabelle 3 - Punktauswertung 1
% pH                     zeta (1), Punkt: 2       SigS, Punkt: 2           fQ, Punkt: 2
5                        -0.01129958781930816     1.4166535252734563E-4    0.050800038148341546
5.1                      -0.013119280652691441    1.7726672654378044E-4    0.05438511447652677
5.2                      -0.015108577716146609    2.216605883375969E-4     0.05857645860145855
5.3                      -0.01726031977659826     2.7697068104434887E-4    0.06344996096409204
5.4                      -0.019565304791137886    3.4581761384871085E-4    0.06908810477354808
5.5                      -0.022012368681043053    4.314289798411139E-4     0.07557867629197791
5.6                      -0.024589056100852463    5.377702268684992E-4     0.0830143006688723
5.7                      -0.02728202430839566     6.696996314643807E-4     0.09149089990875957
5.8                      -0.03007707030931465     8.331507047634262E-4     0.10110427140070216
5.9                      -0.032963165027897534    0.0010353265789078438    0.11196120685710113
6                        -0.0359239188722742      0.0012849663153190838    0.12414410547303205
6.1                      -0.03894692979037681     0.0015925736512880026    0.13773966337890609
6.2                      -0.04201853780159644     0.0019707181153860716    0.1528134381920702
6.3                      -0.04513008423673454     0.0024342643867242375    0.16943528032405453
6.4                      -0.048264975116175265    0.0030007720334334393    0.18760571636995377
6.5                      -0.0514127773692703      0.0036906021413216916    0.20732246370308902
6.6                      -0.05456170009572102     0.00452715678976831      0.22853627770676668
6.7                      -0.05770021297843434     0.005536919442953328     0.2511553255225839
6.8                      -0.06081704705862764     0.006749349211784748     0.27504341734447674
6.9                      -0.06390095316246705     0.008196579628586106     0.30001887533661276
7                        -0.06694067722704762     0.009912879006100895     0.325857649379552
7.1                      -0.06992564348324079     0.011933813578222686     0.35230579540963536
7.2                      -0.07284586459561017     0.014295192847695065     0.379088603157513
7.300000000000001        -0.07568947373250058     0.017032103040586704     0.4058982971977203
7.4                      -0.07845541317597453     0.020176209617892443     0.4325267710760506
7.5                      -0.08113005544064213     0.023756948489700266     0.4586541771434866
7.6                      -0.08370315108320313     0.027799106387668745     0.484007797784058
7.7                      -0.08618908527792386     0.03231753291834843      0.508582436344605
7.800000000000001        -0.08856653023329152     0.037327279925639625     0.5320474807391408
7.9                      -0.0908405345484492      0.042832574674007064     0.5543611232128838
8                        -0.09301108824777787     0.04883255216237978      0.5754584628377462
8.1                      -0.09507953186847165     0.05532061878978259      0.5953117850378612
8.2                      -0.09704794634997567     0.06228532282216394      0.6139207374367521
8.3                      -0.09891651225463131     0.06971204950267425      0.6312839001240682
8.4                      -0.10069931852005932     0.07757855301318752      0.6475397470102856
8.5                      -0.10238968434747263     0.08586736651046509      0.662644129276354
8.6                      -0.10399572298544112     0.09455462654324163      0.6766944097626978
8.7                      -0.10551410497673402     0.10361947185900733      0.6896913852088542
8.8                      -0.10697292966642852     0.11303018901950634      0.7019030192544035
8.9                      -0.10835304927396679     0.12277097162552134      0.7131971623118569
9                        -0.10966663227029758     0.13281589238398864      0.7237056122616178
