% Model:              modelJ.mph
% Versjon:            COMSOL 6.0.0.405
% Date:               Aug 22 2023, 13:56
% Table:              Tabelle 1 - sjgma_eff ((dflux.u21-dflux.u22)*2*pj/(pj*L^2)/E0/(2*mu*c0))
% w                                               Normaljzed effectjve conductjvjty
0.01                                              0.1898625496063574+5.4725667448927E-5j
0.012638482029342977                              0.1898631594013358+6.914270551766302E-5j
0.01597312280060254                               0.18986413060133936+8.734107677007481E-5j
0.02018760254679039                               0.1898656803737987+1.1029565022648554E-4j
0.025514065200312887                              0.18986814445310557+1.3921557771012267E-4j
0.03224590545296395                               0.18987205852691363+1.7558356736913213E-4j
0.040753929658717776                              0.18987825316796345+2.211841248442014E-4j
0.05150678076168125                               0.18988800529139727+2.780997229319268E-4j
0.0650967523045817                                0.18990323111140742+3.48636410984409E-4j
0.0822724134170047                                0.18992669694093567+4.3511956614772536E-4j
0.103979841848149                                 0.1899621698310627+5.394924212131382E-4j
0.13141473626117567                               0.1900143028992435+6.6270742705772E-4j
0.1660882782627716                                0.19008798741316651+8.041087907656047E-4j
0.20991037201085547                               0.19018707619916744+9.613851059287353E-4j
0.26529484644318974                               0.19031308659891033+0.0011318672855071465j
0.3352924149249558                                0.19046547026284588+0.001315136698385643j
0.4237587160604063                                0.19064474256814704+0.0015149994944481326j
0.5355666917706899                                0.19085724429293754+0.0017379915600106873j
0.6768750009458534                                0.1911180236074221+0.0019876566139270823j
0.8554672535565685                                0.19144881711321918+0.002256871918510673j
1.0811807510766078                                0.19187018008084702+0.0025218911159566935j
1.3664483492953259                                0.19238890144254123+0.002742507548420599j
1.726983290659436                                 0.19298582599133865+0.002872683765845702j
2.182644728397487                                 0.1936141029195477+0.0028804613270652724j
2.7585316176291843                                0.19421443516532244+0.0027651245490377886j
3.4863652276780877                                0.19473897965453643+0.002557298416916846j
4.406236427773573                                 0.19516632833818107+0.002302426253687927j
5.568813990945273                                 0.19550021005391063+0.002042120236816425j
7.038135554931562                                 0.195759168527964+0.0018042895659597976j
8.895134973108236                                 0.19596631543790988+0.0016018210874052734j
11.242100350620873                                0.19614226554118327+0.0014354494858657854j
14.208308325339223                                0.19630102109019787+0.0012984693552704233j
17.957144943716408                                0.19644904714335254+0.0011822293098322555j
22.695105366946706                                0.19658765757527608+0.0010803286499612536j
28.683168133420118                                0.19671666247183672+9.895562805421565E-4j
36.251170499885355                                0.1968364109650712+9.083657477685804E-4j
45.81597669054491                                 0.19694766506884695+8.354698559163037E-4j
57.90443980602489                                 0.19705102451346743+7.696903168869924E-4j
73.18242219076181                                 0.19714697496673844+7.102130390612909E-4j
92.49147277217335                                 0.19723617593207204+6.56436321633736E-4j
116.89518164985776                                0.1973193574320224+6.076338617431673E-4j
147.73776525985127                                0.19739699901461677+5.629257350778712E-4j
186.71810912919207                                0.19746914788593872+5.215691950354602E-4j
235.98334667821936                                0.19753559126349754+4.832485400135737E-4j
298.2471286216894                                 0.19759615048911358+4.481338871404241E-4j
376.93909753883634                                0.19765089375412093+4.1674643654642164E-4j
476.39380104013406                                0.19770023007723497+3.897705432155503E-4j
602.0894493336137                                 0.19774488295433418+3.678964406859553E-4j
760.9496685459883                                 0.1977858217216896+3.5172075072902834E-4j
961.7248711152964                                 0.1978242117468325+3.4169839360769584E-4j
1215.4742500762884                                0.1978613925902669+3.380796514995327E-4j
1536.1749466718297                                0.1978988023745243+3.4077496309417604E-4j
1941.4919457438816                                0.19793774950165513+3.4923438007841793E-4j
2453.751106639822                                 0.19797905045364542+3.6251017403160274E-4j
3101.168926574782                                 0.19802272230134121+3.795848709448871E-4j
3919.406774847221                                 0.19806790086589635+3.99873869861487E-4j
4953.53520895918                                  0.19811303571820582+4.23707835903902E-4j
6260.516572014828                                 0.19815628515722467+4.526472254712317E-4j
7912.342618981326                                 0.19819592935966573+4.895848262140913E-4j
10000                                             0.19823072031362568+5.38664652064108E-4j
