% Model:              modelJ.mph
% Versjon:            COMSOL 6.0.0.405
% Date:               Aug 29 2023, 16:32
% Table:              Tabelle 1 - sjgma_eff ((dflux.u21-dflux.u22)*2*pj/(pj*L^2)/E0/(2*mu*c0))
% w                                               Normaljzed effectjve conductjvjty
0.01                                              0.1249317742118088+6.959537108877998E-5j
0.012638482029342977                              0.12493192614403024+8.795730947242751E-5j
0.01597312280060254                               0.1249321687381338+1.1116332422361438E-4j
0.02018760254679039                               0.12493255628655854+1.4049081541074623E-4j
0.025514065200312887                              0.12493317543291532+1.7755350928095194E-4j
0.03224590545296395                               0.12493416429968912+2.243894689333273E-4j
0.040753929658717776                              0.12493574349185681+2.835715906541225E-4j
0.05150678076168125                               0.12493826560398721+3.583457552349118E-4j
0.0650967523045817                                0.12494229305242446+4.528024280300226E-4j
0.0822724134170047                                0.12494872267876338+5.720874683164441E-4j
0.103979841848149                                 0.12495898489340022+7.226563636998048E-4j
0.13141473626117567                               0.12497535630397581+9.125710689972272E-4j
0.1660882782627716                                0.1250014540232131+0.0011518261644318337j
0.20991037201085547                               0.12504300703266671+0.0014526635885274489j
0.26529484644318974                               0.12510904196981176+0.0018297780904492358j
0.3352924149249558                                0.1252136634990606+0.0023002029944260093j
0.4237587160604063                                0.12537861945528414+0.0028824562092885867j
0.5355666917706899                                0.12563671698692813+0.003594169063172175j
0.6768750009458534                                0.12603569018007257+0.004446906539750123j
0.8554672535565685                                0.12664089944622461+0.005436436382151932j
1.0811807510766078                                0.12753278970951085+0.006527206316190335j
1.3664483492953259                                0.1287919179819206+0.007633331922156442j
1.726983290659436                                 0.13046451048714053+0.008607186724328928j
2.182644728397487                                 0.13251341034183645+0.009256889642128103j
2.7585316176291843                                0.13478476984851068+0.009407917952186106j
3.4863652276780877                                0.13703290438682186+0.008985819866285228j
4.406236427773573                                 0.13900622293077294+0.008058535754844252j
5.568813990945273                                 0.14053505856941487+0.006802076359096033j
7.038135554931562                                 0.1415625269316126+0.0054246944143990575j
8.895134973108236                                 0.1421216163093778+0.0041089183594217845j
11.242100350620873                                0.14229993972986474+0.002990888222331749j
14.208308325339223                                0.14221763275775992+0.002157665505205401j
17.957144943716408                                0.1420130692975861+0.0016418116080745952j
22.695105366946706                                0.14182045578712288+0.0014139524890116476j
28.683168133420118                                0.1417373544408618+0.001389519453524405j
36.251170499885355                                0.14179915446160454+0.0014586656055891318j
45.81597669054491                                 0.14197908881253568+0.0015281899247074375j
57.90443980602489                                 0.14221645334397195+0.0015525052931212857j
73.18242219076181                                 0.14245645111478825+0.001535736788472197j
92.49147277217335                                 0.1426758677979482+0.0015064628010252124j
116.89518164985776                                0.1428803452142265+0.0014874786249695357j
147.73776525985127                                0.14308421980356983+0.0014836037376938305j
186.71810912919207                                0.14329555640824568+0.0014888998332165822j
235.98334667821936                                0.14351542949789392+0.0014971059122247704j
298.2471286216894                                 0.14374286666156844+0.0015045142148152686j
376.93909753883634                                0.14397692050133148+0.0015084468781262578j
476.39380104013406                                0.1442165120580296+0.001506445181966911j
602.0894493336137                                 0.14446038432295816+0.0014960650425975804j
760.9496685459883                                 0.14470683332458734+0.001474520625345826j
961.7248711152964                                 0.14495304538976608+0.001438787835101125j
1215.4742500762884                                0.1451946895979258+0.001386286564115266j
1536.1749466718297                                0.14542600346253665+0.0013157250715222122j
1941.4919457438816                                0.14564027226335877+0.0012278670469784434j
2453.751106639822                                 0.14583068075254793+0.001126120499574591j
3101.168926574782                                 0.14599151639156208+0.0010167400333812053j
3919.406774847221                                 0.14611949368289967+9.083336652615053E-4j
4953.53520895918                                  0.146214667045326+8.106458583381945E-4j
6260.516572014828                                 0.14628054568663124+7.330183109357451E-4j
7912.342618981326                                 0.14632338854868746+6.829758529426251E-4j
10000                                             0.1463507561134194+6.653214895381338E-4j
