% Model:              modelJ.mph
% Versjon:            COMSOL 6.0.0.405
% Date:               Aug 28 2023, 11:59
% Table:              Tabelle 1 - sjgma_eff ((dflux.u21-dflux.u22)*2*pj/(pj*L^2)/E0/(2*mu*c0))
% w                                               Normaljzed effectjve conductjvjty
0.01                                              0.10569476687790637+3.418243145920629E-5j
0.012638482029342977                              0.1056949514810243+4.3199324519965605E-5j
0.01597312280060254                               0.10569524624349486+5.459319018930868E-5j
0.02018760254679039                               0.1056957169802584+6.898903100203687E-5j
0.025514065200312887                              0.10569646864098058+8.717456090576178E-5j
0.03224590545296395                               0.1056976687784546+1.1014090516982826E-4j
0.040753929658717776                              0.10569958410899241+1.391317798574849E-4j
0.05150678076168125                               0.10570263968512982+1.7570111543363602E-4j
0.0650967523045817                                0.10570751027287438+2.217768190859506E-4j
0.0822724134170047                                0.105715264835988+2.797233611587774E-4j
0.103979841848149                                 0.1057275870009236+3.523854461477751E-4j
0.13141473626117567                               0.1057471069674271+4.430745679264764E-4j
0.1660882782627716                                0.10577787904821093+5.554224707482574E-4j
0.20991037201085547                               0.10582601905947976+6.929616998933521E-4j
0.26529484644318974                               0.10590043470059449+8.582028356370694E-4j
0.3352924149249558                                0.10601337108923803+0.0010508978348491445j
0.4237587160604063                                0.1061800800767027+0.0012652547894429456j
0.5355666917706899                                0.10641638079306986+0.001486435521683116j
0.6768750009458534                                0.10673281609640743+0.0016881000230061247j
0.8554672535565685                                0.10712587342106358+0.001834576590599477j
1.0811807510766078                                0.10757093285036472+0.0018907462763213551j
1.3664483492953259                                0.10802440277827616+0.001836903452429419j
1.726983290659436                                 0.10843722689270867+0.0016786833283963542j
2.182644728397487                                 0.10877134610863291+0.0014443044591826793j
2.7585316176291843                                0.10900836450837936+0.0011726364059897114j
3.4863652276780877                                0.10914847109143336+9.016985104207425E-4j
4.406236427773573                                 0.10920527038275249+6.626137692175814E-4j
5.568813990945273                                 0.10920151097791359+4.772195098625198E-4j
7.038135554931562                                 0.10916571764940804+3.5581051572500797E-4j
8.895134973108236                                 0.10912695446486208+2.948868944031381E-4j
11.242100350620873                                0.10910732114417233+2.781899046365206E-4j
14.208308325339223                                0.10911587520997543+2.829920032910473E-4j
17.957144943716408                                0.10914807782985839+2.8927506801819456E-4j
22.695105366946706                                0.10919155528171369+2.8684441977490073E-4j
28.683168133420118                                0.10923478939908307+2.7620929479354735E-4j
36.251170499885355                                0.10927290318343058+2.632101424698031E-4j
45.81597669054491                                 0.10930706596286587+2.5240752291667417E-4j
57.90443980602489                                 0.10934002228747441+2.446174235832176E-4j
73.18242219076181                                 0.10937307716656218+2.3874480628606625E-4j
92.49147277217335                                 0.10940633943489445+2.3390943114861787E-4j
116.89518164985776                                0.10943979568573184+2.2965579993382325E-4j
147.73776525985127                                0.1094734155875967+2.2551817666483114E-4j
186.71810912919207                                0.10950694682348491+2.2109193697027868E-4j
235.98334667821936                                0.10954004247687064+2.1622162477041656E-4j
298.2471286216894                                 0.10957247491456473+2.1092859926511907E-4j
376.93909753883634                                0.10960415873935776+2.051978884401163E-4j
476.39380104013406                                0.1096349621038984+1.9885438392317362E-4j
602.0894493336137                                 0.10966447901372252+1.9167793343301265E-4j
760.9496685459883                                 0.10969198097590739+1.836901022801442E-4j
961.7248711152964                                 0.10971661447597186+1.753861860608252E-4j
1215.4742500762884                                0.10973768251760252+1.6776111072146248E-4j
1536.1749466718297                                0.1097548387877255+1.621744805928335E-4j
1941.4919457438816                                0.10976815778449421+1.6017623670545956E-4j
2453.751106639822                                 0.10977811078069236+1.633476367008982E-4j
3101.168926574782                                 0.10978546037937124+1.731740669797932E-4j
3919.406774847221                                 0.1097910667607507+1.9100187144329374E-4j
4953.53520895918                                  0.10979566975780407+2.1813681312094263E-4j
6260.516572014828                                 0.10979973349461472+2.5608340868471286E-4j
7912.342618981326                                 0.10980342457683404+3.0685632702501594E-4j
10000                                             0.10980671517108027+3.7327048372714356E-4j
