% Model:              modelJ.mph
% Versjon:            COMSOL 6.0.0.405
% Date:               Aug 22 2023, 15:48
% Table:              Tabelle 1 - sjgma_eff ((dflux.u21-dflux.u22)*2*pj/(pj*L^2)/E0/(2*mu*c0))
% w                                               Normaljzed effectjve conductjvjty
0.01                                              0.2594256944376672+1.0318456495892383E-4j
0.012638482029342977                              0.25942670060609696+1.303756337550952E-4j
0.01597312280060254                               0.25942830599464356+1.6470649511023114E-4j
0.02018760254679039                               0.25943086517622377+2.0802599603191184E-4j
0.025514065200312887                              0.2594349395514955+2.6263568591102524E-4j
0.03224590545296395                               0.25944141628824796+3.313744936492141E-4j
0.040753929658717776                              0.25945167718410145+4.176926023071651E-4j
0.05150678076168125                               0.2594678636690812+5.256828116050702E-4j
0.0650967523045817                                0.2594932035830898+6.600094107191334E-4j
0.0822724134170047                                0.2595324338844246+8.256362936096993E-4j
0.103979841848149                                 0.25959213913117885+0.001027231117493157j
0.13141473626117567                               0.2596807532022096+0.0012681814188854805j
0.1660882782627716                                0.25980775103876064+0.0015494532599699318j
0.20991037201085547                               0.259981682533439+0.0018691517738508286j
0.26529484644318974                               0.2602077954795198+0.002224190056463156j
0.3352924149249558                                0.2604877900350193+0.002614567909516459j
0.4237587160604063                                0.26082452464367817+0.0030475621933437644j
0.5355666917706899                                0.26123088653929544+0.003536506968897599j
0.6768750009458534                                0.2617369196430508+0.0040912500554958955j
0.8554672535565685                                0.2623887655785976+0.0047030338402059765j
1.0811807510766078                                0.2632360439456954+0.005330069466896347j
1.3664483492953259                                0.2643076206410143+0.005892204166824092j
1.726983290659436                                 0.2655824462086531+0.006285358469721316j
2.182644728397487                                 0.2669745099878173+0.006420198739544202j
2.7585316176291843                                0.2683532917903801+0.0062672697061715325j
3.4863652276780877                                0.2695950619100898+0.005873591133540003j
4.406236427773573                                 0.27062840084339257+0.005336088699963167j
5.568813990945273                                 0.2714443834457574+0.004756447237274368j
7.038135554931562                                 0.27207733020379404+0.004209595147282872j
8.895134973108236                                 0.27257879279611336+0.0037346770733826472j
11.242100350620873                                0.27299803490478064+0.003340091714077423j
14.208308325339223                                0.2733707214386317+0.003014271951863855j
17.957144943716408                                0.2737152890043621+0.002738282247766433j
22.695105366946706                                0.27403681517000683+0.0024963538200382302j
28.683168133420118                                0.27433497050904765+0.002279993048421666j
36.251170499885355                                0.27460997844896734+0.002085663249941224j
45.81597669054491                                 0.27486358808500816+0.0019110705656051447j
57.90443980602489                                 0.2750977283714535+0.001753904089265915j
73.18242219076181                                 0.27531403489078726+0.0016122479453127162j
92.49147277217335                                 0.2755143032300289+0.0014845502881236407j
116.89518164985776                                0.2757003780586558+0.0013690547140497505j
147.73776525985127                                0.2758735933087812+0.0012636967227497096j
186.71810912919207                                0.2760343796664226+0.0011666497084519762j
235.98334667821936                                0.27618260576657006+0.0010768968491904176j
298.2471286216894                                 0.2763181187253569+9.943555046497286E-4j
376.93909753883634                                0.2764412005782264+9.196161921509791E-4j
476.39380104013406                                0.2765527191616603+8.535863738773992E-4j
602.0894493336137                                 0.2766540947489937+7.971785382881729E-4j
760.9496685459883                                 0.2767472016256462+7.510991728534957E-4j
961.7248711152964                                 0.2768341806393337+7.157580810450846E-4j
1215.4742500762884                                0.27691744324827844+6.911981210315957E-4j
1536.1749466718297                                0.27699955859939485+6.768887197468655E-4j
1941.4919457438816                                0.27708298123640285+6.71456698508327E-4j
2453.751106639822                                 0.27716942923586624+6.726513827806231E-4j
3101.168926574782                                 0.2772592565756743+6.777818917535E-4j
3919.406774847221                                 0.2773511662523934+6.845577382993873E-4j
4953.53520895918                                  0.27744246440528186+6.919966027211528E-4j
6260.516572014828                                 0.2775297708209913+7.010477809882077E-4j
7912.342618981326                                 0.2776098518823459+7.147560116234519E-4j
10000                                             0.2776803400491712+7.379992699924937E-4j
