% Model:              modelJ.mph
% Versjon:            COMSOL 6.0.0.405
% Date:               Aug 21 2023, 16:32
% Table:              Tabelle 1 - sjgma_eff ((dflux.u21-dflux.u22)*2*pj/(pj*L^2)/E0/(2*mu*c0))
% w                                               Normaljzed effectjve conductjvjty
0.01                                              0.20457743263226244+5.448375952473412E-5j
0.012638482029342977                              0.2045779719646253+6.883904780615538E-5j
0.01597312280060254                               0.20457883269934138+8.696149380682102E-5j
0.02018760254679039                               0.20458020489994314+1.0982438695365638E-4j
0.025514065200312887                              0.20458238649794175+1.3863710417103017E-4j
0.03224590545296395                               0.2045858501811843+1.7488714139305377E-4j
0.040753929658717776                              0.20459132753371215+2.203741835557322E-4j
0.05150678076168125                               0.2045999402394262+2.772185795064128E-4j
0.0650967523045817                                0.20461336035943828+3.478122062651458E-4j
0.0822724134170047                                0.20463398856571205+4.3466589077817647E-4j
0.103979841848149                                 0.20466505462937346+5.401093456640944E-4j
0.13141473626117567                               0.2047105032161443+6.658669475286836E-4j
0.1660882782627716                                0.20477446607930075+8.1272500180877E-4j
0.20991037201085547                               0.20486039098775907+9.807826531736943E-4j
0.26529484644318974                               0.2049705222362171+0.0011707551645080206j
0.3352924149249558                                0.20510701063936332+0.0013858829117588422j
0.4237587160604063                                0.20527521595457277+0.0016325611188656598j
0.5355666917706899                                0.2054876356254498+0.001917693520567417j
0.6768750009458534                                0.20576561997807538+0.002242674295591447j
0.8554672535565685                                0.20613663848917418+0.002595812763142715j
1.0811807510766078                                0.20662576477417557+0.002946102239801631j
1.3664483492953259                                0.207241483301965+0.0032430640117143412j
1.726983290659436                                 0.20796093597263543+0.0034285715322897783j
2.182644728397487                                 0.20872654997093615+0.0034606463470261938j
2.7585316176291843                                0.20946347459192802+0.0033355876460492875j
3.4863652276780877                                0.21010934962443475+0.0030899976977476723j
4.406236427773573                                 0.2106346936022479+0.0027811171529770837j
5.568813990945273                                 0.211042850948039+0.0024626367395588467j
7.038135554931562                                 0.21135713013961857+0.0021708087007404515j
8.895134973108236                                 0.2116069868946935+0.0019220968630097336j
11.242100350620873                                0.2118183099906874+0.0017171740776340165j
14.208308325339223                                0.21200824129729218+0.0015474905501598676j
17.957144943716408                                0.2121844077601539+0.001402355572189523j
22.695105366946706                                0.2123480761053225+0.0012740554528508242j
28.683168133420118                                0.21249872504623507+0.0011589856696824106j
36.251170499885355                                0.2126366715372854+0.0010557596070600189j
45.81597669054491                                 0.2127630555861279+9.632943304364635E-4j
57.90443980602489                                 0.21287900759850756+8.804052094436022E-4j
73.18242219076181                                 0.21298547015227073+8.061014231358968E-4j
92.49147277217335                                 0.2130834139455739+7.395742230325014E-4j
116.89518164985776                                0.21317378566970077+6.799677376971372E-4j
147.73776525985127                                0.21325728341293934+6.26381126373628E-4j
186.71810912919207                                0.21333427303425825+5.780970497544283E-4j
235.98334667821936                                0.21340495832781992+5.347687110852313E-4j
298.2471286216894                                 0.21346959863064835+4.964148787717754E-4j
376.93909753883634                                0.21352866446849125+4.632791156051823E-4j
476.39380104013406                                0.21358285103167562+4.3567580808968756E-4j
602.0894493336137                                 0.21363302625747008+4.1388072543292314E-4j
760.9496685459883                                 0.21368015118782557+3.980990637038681E-4j
961.7248711152964                                 0.21372525530977024+3.884933060261645E-4j
1215.4742500762884                                0.21376948576106344+3.8516656312439265E-4j
1536.1749466718297                                0.2138141451065294+3.8800540662650316E-4j
1941.4919457438816                                0.21386049574715707+3.9647628031810623E-4j
2453.751106639822                                 0.21390939472425718+4.0959618046632366E-4j
3101.168926574782                                 0.21396089037879212+4.262178420842935E-4j
3919.406774847221                                 0.21401405946216956+4.455634901600851E-4j
4953.53520895918                                  0.21406719576922031+4.6778410566071743E-4j
6260.516572014828                                 0.21411819283587571+4.943436488862062E-4j
7912.342618981326                                 0.2141650630902021+5.28155042763536E-4j
10000                                             0.21420631970360274+5.734883655842466E-4j
