% Model:              modelJ.mph
% Versjon:            COMSOL 6.0.0.405
% Date:               Aug 23 2023, 15:27
% Table:              Tabelle 1 - sjgma_eff ((dflux.u21-dflux.u22)*2*pj/(pj*L^2)/E0/(2*mu*c0))
% w                                               Normaljzed effectjve conductjvjty
0.01                                              0.10032838957182036+2.5979776194972076E-5j
0.012638482029342977                              0.10032854448695913+3.283258422002223E-5j
0.01597312280060254                               0.10032879188958144+4.14915489624589E-5j
0.02018760254679039                               0.10032918698692371+5.243124165927058E-5j
0.025514065200312887                              0.10032981782369191+6.624943481099993E-5j
0.03224590545296395                               0.10033082482660505+8.369756208223883E-5j
0.040753929658717776                              0.10033243185911635+1.0571714608174721E-4j
0.05150678076168125                               0.10033499484525381+1.3348168796532023E-4j
0.0650967523045817                                0.10033907883091436+1.6844133011560656E-4j
0.0822724134170047                                0.10034557688161341+2.1236290376793813E-4j
0.103979841848149                                 0.10035589240618024+2.673484127410817E-4j
0.13141473626117567                               0.10037220828151866+3.357966294672524E-4j
0.1660882782627716                                0.10039786636419469+4.202394222105736E-4j
0.20991037201085547                               0.10043785182601227+5.229312194389244E-4j
0.26529484644318974                               0.10049929312724142+6.450020586507254E-4j
0.3352924149249558                                0.10059168714444583+7.849493588854915E-4j
0.4237587160604063                                0.10072620771303764+9.363908841014974E-4j
0.5355666917706899                                0.10091310321670194+0.0010856199406935642j
0.6768750009458534                                0.10115649057477355+0.0012107681605807395j
0.8554672535565685                                0.10144786618222058+0.0012854433995642173j
1.0811807510766078                                0.10176299769756421+0.0012880366778115205j
1.3664483492953259                                0.10206724238794422+0.00121229008661169j
1.726983290659436                                 0.10232781705643354+0.0010709144962954221j
2.182644728397487                                 0.10252433666314333+8.89351266498922E-4j
2.7585316176291843                                0.10265126535746577+6.957610962469108E-4j
3.4863652276780877                                0.10271432161366706+5.143869932486043E-4j
4.406236427773573                                 0.1027263326704797+3.6345054823376863E-4j
5.568813990945273                                 0.102704927419339+2.544570134497669E-4j
7.038135554931562                                 0.10267044827291051+1.906366970510729E-4j
8.895134973108236                                 0.10264189332545572+1.6568482200206297E-4j
11.242100350620873                                0.10263161754278735+1.6554726599244803E-4j
14.208308325339223                                0.10264203914179591+1.7383604577535607E-4j
17.957144943716408                                0.10266682732353548+1.783196781276581E-4j
22.695105366946706                                0.1026961878573916+1.7477317220392682E-4j
28.683168133420118                                0.10272295721597276+1.6586494492617907E-4j
36.251170499885355                                0.10274535706816917+1.5635954586750166E-4j
45.81597669054491                                 0.10276517702384753+1.4891640271860938E-4j
57.90443980602489                                 0.10278436688806858+1.4350503570207692E-4j
73.18242219076181                                 0.10280356743918498+1.3923060693142122E-4j
92.49147277217335                                 0.1028227357199626+1.3557405936302612E-4j
116.89518164985776                                0.10284182556994594+1.322896333466783E-4j
147.73776525985127                                0.1028607676956191+1.291406123978944E-4j
186.71810912919207                                0.10287937661079649+1.2597450860106932E-4j
235.98334667821936                                0.1028974499639143+1.2280661365910266E-4j
298.2471286216894                                 0.10291488589398479+1.1975923547437316E-4j
376.93909753883634                                0.1029316891839814+1.1693094164656547E-4j
476.39380104013406                                0.10294785284275731+1.143231628968885E-4j
602.0894493336137                                 0.10296322031464791+1.1191043574418286E-4j
760.9496685459883                                 0.10297745631358156+1.0980827949202588E-4j
961.7248711152964                                 0.102990155130902+1.0840765143308645E-4j
1215.4742500762884                                0.10300099324273568+1.0839395760134816E-4j
1536.1749466718297                                0.10300982945507815+1.106793080468579E-4j
1941.4919457438816                                0.10301673138366675+1.1632082844025169E-4j
2453.751106639822                                 0.10302195145547059+1.2645989460437966E-4j
3101.168926574782                                 0.1030258652296796+1.4229122628485214E-4j
3919.406774847221                                 0.10302887789211833+1.6508381743999317E-4j
4953.53520895918                                  0.10303132680193963+1.9627572253459583E-4j
6260.516572014828                                 0.1030334242683539+2.376369560364824E-4j
7912.342618981326                                 0.10303526095741454+2.914673620830899E-4j
10000                                             0.10303686216244326+3.6079075311467755E-4j
