% Model:              modelJ.mph
% Versjon:            COMSOL 6.0.0.405
% Date:               Aug 28 2023, 11:29
% Table:              Tabelle 1 - sjgma_eff ((dflux.u21-dflux.u22)*2*pj/(pj*L^2)/E0/(2*mu*c0))
% w                                               Normaljzed effectjve conductjvjty
0.01                                              0.23787427786039128+1.1366231105229403E-4j
0.012638482029342977                              0.2378753248135051+1.4362336263595455E-4j
0.01597312280060254                               0.23787699522774539+1.8146055831907572E-4j
0.02018760254679039                               0.23787966135316302+2.2922252971386647E-4j
0.025514065200312887                              0.23788390931950923+2.8946869535134923E-4j
0.03224590545296395                               0.2378906755466026+3.6537422596996807E-4j
0.040753929658717776                              0.23790142690836832+4.6083360608113397E-4j
0.05150678076168125                               0.23791846300563368+5.805353567879573E-4j
0.0650967523045817                                0.2379453231662511+7.299509110303026E-4j
0.0822724134170047                                0.23798736852680621+9.151322289888776E-4j
0.103979841848149                                 0.23805242559047943+0.001142145383964134j
0.13141473626117567                               0.23815135422616676+0.0014159206127379689j
0.1660882782627716                                0.23829796922009358+0.0017383926780599364j
0.20991037201085547                               0.2385075329553932+0.0021062934599552223j
0.26529484644318974                               0.23879317638141997+0.0025100255703503797j
0.3352924149249558                                0.23916129707460967+0.0029360090578706946j
0.4237587160604063                                0.2396100974725675+0.0033734657713841215j
0.5355666917706899                                0.24013584658702533+0.003821296379682057j
0.6768750009458534                                0.24074515732450608+0.00428643080697534j
0.8554672535565685                                0.24146283771679078+0.0047698054000681975j
1.0811807510766078                                0.2423248801152752+0.005247282576544304j
1.3664483492953259                                0.24335517298325854+0.005659626565254376j
1.726983290659436                                 0.2445363469345624+0.0059243232964252554j
2.182644728397487                                 0.24579563104872926+0.005971122037242274j
2.7585316176291843                                0.24702434701855433+0.005781675121029586j
3.4863652276780877                                0.24812336370901558+0.005401370249160309j
4.406236427773573                                 0.24904020133514979+0.004913506280705189j
5.568813990945273                                 0.24977362812427067+0.00440046133858369j
7.038135554931562                                 0.2503544270928343+0.003919922695520262j
8.895134973108236                                 0.25082382408660203+0.003501322475241372j
11.242100350620873                                0.2512203443402951+0.003152061562894025j
14.208308325339223                                0.25157349256358313+0.002865110331221443j
17.957144943716408                                0.2519010995453403+0.0026265946207576435j
22.695105366946706                                0.2522106499949853+0.002423024610784506j
28.683168133420118                                0.2525041676614839+0.002245246829890981j
36.251170499885355                                0.25278262206766133+0.0020877192412750377j
45.81597669054491                                 0.25304696694838164+0.0019462502443697777j
57.90443980602489                                 0.2532974840928075+0.0018175291656607577j
73.18242219076181                                 0.25353420560622053+0.001699696972847219j
92.49147277217335                                 0.253758039167621+0.001591816376710655j
116.89518164985776                                0.25397075605994585+0.0014924684102090677j
147.73776525985127                                0.25417377911084243+0.0013991054552007763j
186.71810912919207                                0.25436703889880247+0.0013087636625594074j
235.98334667821936                                0.2545489240471116+0.0012193258339079362j
298.2471286216894                                 0.25471715873634476+0.0011303012013319203j
376.93909753883634                                0.25486973418670644+0.0010428235178775573j
476.39380104013406                                0.2550056050244052+9.59205056973644E-4j
602.0894493336137                                 0.255124997268178+8.823732606935244E-4j
760.9496685459883                                 0.255229485841233+8.152833778693443E-4j
961.7248711152964                                 0.2553219055219469+7.603650442881732E-4j
1215.4742500762884                                0.2554060065450443+7.190382201921407E-4j
1536.1749466718297                                0.25548596505656324+6.913269668434853E-4j
1941.4919457438816                                0.25556564317296115+6.756791445315218E-4j
2453.751106639822                                 0.2556476999919064+6.692289868826689E-4j
3101.168926574782                                 0.2557329305439325+6.685793570005137E-4j
3919.406774847221                                 0.25582009581669785+6.709049587283509E-4j
4953.53520895918                                  0.2559064232281147+6.749621702901519E-4j
6260.516572014828                                 0.25598848735696356+6.816666511827275E-4j
7912.342618981326                                 0.2560631534165923+6.941338287053792E-4j
10000                                             0.25612830610902837+7.172781482262051E-4j
