% Model:              modelJ.mph
% Versjon:            COMSOL 6.0.0.405
% Date:               Aug 30 2023, 16:15
% Table:              Tabelle 1 - sjgma_eff ((dflux.u21-dflux.u22)*2*pj/(pj*L^2)/E0/(2*mu*c0))
% w                                               Normaljzed effectjve conductjvjty
0.01                                              0.18831669566499842+1.2499892440100905E-4j
0.012638482029342977                              0.18831693996892382+1.5797867985582783E-4j
0.01597312280060254                               0.18831733033480708+1.9965907959705565E-4j
0.02018760254679039                               0.18831795407650598+2.523347503544336E-4j
0.025514065200312887                              0.18831894919585912+3.1890470796861977E-4j
0.03224590545296395                               0.18832053902934215+4.030307645024325E-4j
0.040753929658717776                              0.18832307868011974+5.093366498154893E-4j
0.05150678076168125                               0.18832713463994397+6.436574839572094E-4j
0.0650967523045817                                0.18833361227788611+8.13350685162118E-4j
0.0822724134170047                                0.18834395307985402+0.0010276800400034283j
0.103979841848149                                 0.18836046080272806+0.001298283290041553j
0.13141473626117567                               0.1883868014547571+0.001639727250787129j
0.1660882782627716                                0.1884288046962489+0.0020701376056545913j
0.20991037201085547                               0.18849571898775253+0.002611851756816768j
0.26529484644318974                               0.18860214831056632+0.003291960510372292j
0.3352924149249558                                0.18877099656376725+0.004142438614977378j
0.4237587160604063                                0.1890377985174138+0.005199247824070653j
0.5355666917706899                                0.18945669469600213+0.006499235781792212j
0.6768750009458534                                0.19010780425778306+0.008072781632163904j
0.8554672535565685                                0.19110407006753913+0.009929128187041732j
1.0811807510766078                                0.19259208340225986+0.012031218982795727j
1.3664483492953259                                0.19473560701973885+0.014260525415031013j
1.726983290659436                                 0.19766663871728835+0.016384462253633787j
2.182644728397487                                 0.20139940530186404+0.018059459772525547j
2.7585316176291843                                0.20574153569230486+0.018910901067416056j
3.4863652276780877                                0.21028196492414683+0.018686797441890408j
4.406236427773573                                 0.21451098887942943+0.01739304901288098j
5.568813990945273                                 0.21801015723880174+0.015297048575117236j
7.038135554931562                                 0.2205754794843743+0.012800397629170488j
8.895134973108236                                 0.22221491769227586+0.010292144271630088j
11.242100350620873                                0.22307549937121812+0.008068206029846791j
14.208308325339223                                0.22337298488477764+0.006314704269801696j
17.957144943716408                                0.2233480179585525+0.0051147650143264865j
22.695105366946706                                0.2232348338130753+0.0044543516147853325j
28.683168133420118                                0.22322531292700812+0.004231470267004192j
36.251170499885355                                0.22343188142341397+0.004285462550916588j
45.81597669054491                                 0.22387086168084375+0.0044483836318896935j
57.90443980602489                                 0.22448121977089475+0.004597896600903284j
73.18242219076181                                 0.22517195311079402+0.004685639671069634j
92.49147277217335                                 0.22587343420507744+0.0047269419572171225j
116.89518164985776                                0.22656322609046772+0.0047609962917757025j
147.73776525985127                                0.2272545813872169+0.004812163748866006j
186.71810912919207                                0.22796652736057632+0.004879218229391835j
235.98334667821936                                0.22870608371527126+0.004949750073188085j
298.2471286216894                                 0.22947203495924884+0.0050147140750350285j
376.93909753883634                                0.23026436228704428+0.005068632625893589j
476.39380104013406                                0.23108558582947927+0.00510308314439801j
602.0894493336137                                 0.23193578385025054+0.0051037683911457025j
760.9496685459883                                 0.2328074817373193+0.005052945828320096j
961.7248711152964                                 0.2336839577207346+0.004935002978504834j
1215.4742500762884                                0.2345418996462958+0.004741504681917178j
1536.1749466718297                                0.2353559920626925+0.004472945204203856j
1941.4919457438816                                0.23610244803431715+0.004138049721884832j
2453.751106639822                                 0.23676136823597213+0.0037527371311966923j
3101.168926574782                                 0.23731915451495264+0.0033387686944342525j
3919.406774847221                                 0.23777055457005608+0.00292119677165623j
4953.53520895918                                  0.23811932473021005+0.002525019963026673j
6260.516572014828                                 0.2383774756017662+0.0021718976758191982j
7912.342618981326                                 0.23856319947243365+0.0018771878930736643j
10000                                             0.23869717628512863+0.0016479681445025112j
