% Model:              modelJ.mph
% Versjon:            COMSOL 6.0.0.405
% Date:               Aug 22 2023, 10:57
% Table:              Tabelle 1 - sjgma_eff ((dflux.u21-dflux.u22)*2*pj/(pj*L^2)/E0/(2*mu*c0))
% w                                               Normaljzed effectjve conductjvjty
0.01                                              0.1056951101196335+2.0117084735565973E-5j
0.012638482029342977                              0.10569537783956053+2.541735673096569E-5j
0.01597312280060254                               0.105695805117117+3.2108380602444816E-5j
0.02018760254679039                               0.10569648673482762+4.0549270350808114E-5j
0.025514065200312887                              0.10569757330228033+5.118597042977647E-5j
0.03224590545296395                               0.10569930334045864+6.45662253110837E-5j
0.040753929658717776                              0.10570205283095754+8.135069788751697E-5j
0.05150678076168125                               0.10570640950671588+1.0231188204882241E-4j
0.0650967523045817                                0.10571328001635445+1.283041018486536E-4j
0.0822724134170047                                0.10572403431142481+1.6017364419566396E-4j
0.103979841848149                                 0.10574067290647328+1.985575939998723E-4j
0.13141473626117567                               0.10576595750174174+2.4350087027081546E-4j
0.1660882782627716                                0.1058033520137773+2.9383504166518383E-4j
0.20991037201085547                               0.10585649728061287+3.4638482356098594E-4j
0.26529484644318974                               0.1059279148683459+3.953906284569726E-4j
0.3352924149249558                                0.10601702039841557+4.3296655259667975E-4j
0.4237587160604063                                0.10611850883871096+4.513419975150203E-4j
0.5355666917706899                                0.10622289705466718+4.462765650788712E-4j
0.6768750009458534                                0.10631978370982546+4.192269752814969E-4j
0.8554672535565685                                0.10640166101007549+3.763162989712494E-4j
1.0811807510766078                                0.10646544175431939+3.2516809859104025E-4j
1.3664483492953259                                0.1065113831083149+2.7239259573111173E-4j
1.726983290659436                                 0.1065413815143186+2.230569048855303E-4j
2.182644728397487                                 0.1065583380834221+1.8118926074573222E-4j
2.7585316176291843                                0.106566437241195+1.4970322964216002E-4j
3.4863652276780877                                0.10657092233579475+1.294026275616455E-4j
4.406236427773573                                 0.10657663183430151+1.1830057029933842E-4j
5.568813990945273                                 0.10658620546002652+1.1239971132175636E-4j
7.038135554931562                                 0.10659938735438024+1.0765068971635162E-4j
8.895134973108236                                 0.1066139636300348+1.0178847312477149E-4j
11.242100350620873                                0.10662765274276569+9.483118327068957E-5j
14.208308325339223                                0.10663953293586076+8.804186832536713E-5j
17.957144943716408                                0.10665004589241422+8.243099006230107E-5j
22.695105366946706                                0.10666000781721474+7.811271969403705E-5j
28.683168133420118                                0.10666985530005818+7.469229111671325E-5j
36.251170499885355                                0.10667965083343998+7.181253642907989E-5j
45.81597669054491                                 0.1066893596949227+6.927078229983177E-5j
57.90443980602489                                 0.10669893421826866+6.692893739555734E-5j
73.18242219076181                                 0.10670829838140897+6.469999547642834E-5j
92.49147277217335                                 0.1067173753913873+6.256476776824063E-5j
116.89518164985776                                0.10672612422999571+6.0548465440775274E-5j
147.73776525985127                                0.10673454487755622+5.8675400889165034E-5j
186.71810912919207                                0.10674263857710203+5.693698288167292E-5j
235.98334667821936                                0.10675035389181838+5.5305650561607826E-5j
298.2471286216894                                 0.10675755796916786+5.379659455944327E-5j
376.93909753883634                                0.10676406525977643+5.253611912149672E-5j
476.39380104013406                                0.10676970275474172+5.1790822907848475E-5j
602.0894493336137                                 0.1067743715791252+5.195116646499088E-5j
760.9496685459883                                 0.10677807685895425+5.349429758629911E-5j
961.7248711152964                                 0.10678093426644703+5.694433528082432E-5j
1215.4742500762884                                0.1067831506863524+6.283658593575198E-5j
1536.1749466718297                                0.10678497839750058+7.17006095716745E-5j
1941.4919457438816                                0.10678665139795386+8.408114309449545E-5j
2453.751106639822                                 0.10678833022788482+1.0060353054425704E-4j
3101.168926574782                                 0.10679007863127393+1.220714917329631E-4j
3919.406774847221                                 0.10679187420207702+1.4957490950417117E-4j
4953.53520895918                                  0.1067936445997252+1.8459087035226218E-4j
6260.516572014828                                 0.1067953084248504+2.2907565180366462E-4j
7912.342618981326                                 0.10679680613756631+2.85559001034604E-4j
10000                                             0.10679811439475173+3.572606180946134E-4j
