% Model:              modelJ.mph
% Versjon:            COMSOL 6.0.0.405
% Date:               Aug 30 2023, 13:56
% Table:              Tabelle 1 - sjgma_eff ((dflux.u21-dflux.u22)*2*pj/(pj*L^2)/E0/(2*mu*c0))
% w                                               Normaljzed effectjve conductjvjty
0.01                                              0.10217988673603409+3.630140913995142E-5j
0.012638482029342977                              0.10217991104575484+4.587943821487899E-5j
0.01597312280060254                               0.10217994993313523+5.7984579922606334E-5j
0.02018760254679039                               0.10218001200076493+7.328357467423037E-5j
0.025514065200312887                              0.1021801111596465+9.261904680597041E-5j
0.03224590545296395                               0.10218026953012255+1.1705587606888968E-4j
0.040753929658717776                              0.10218052253182541+1.4793976895410805E-4j
0.05150678076168125                               0.10218092649743002+1.8697121128432955E-4j
0.0650967523045817                                0.10218157195287754+2.3629878839957066E-4j
0.0822724134170047                                0.10218260278919189+2.986368334616263E-4j
0.103979841848149                                 0.10218424929309368+3.774135254249184E-4j
0.13141473626117567                               0.1021868790561924+4.769568642630729E-4j
0.1660882782627716                                0.10219107892572736+6.027272999371995E-4j
0.20991037201085547                               0.10219778582960128+7.616068579981208E-4j
0.26529484644318974                               0.1022084946830515+9.622546862791418E-4j
0.3352924149249558                                0.10222558941992711+0.0012155364799954795j
0.4237587160604063                                0.10225286741438805+0.0015350269473718206j
0.5355666917706899                                0.10229636711861956+0.0019375635975424767j
0.6768750009458534                                0.10236566217028185+0.002443783385514155j
0.8554672535565685                                0.10247585452760757+0.003078475923783659j
1.0811807510766078                                0.10265056608371778+0.0038703951104545426j
1.3664483492953259                                0.10292622807808355+0.004850821649430256j
1.726983290659436                                 0.1033577520962735+0.0060495947540036045j
2.182644728397487                                 0.1040248965832698+0.007486535933424837j
2.7585316176291843                                0.10503670450967142+0.00915551104825321j
3.4863652276780877                                0.10652759828653431+0.010999159276846217j
4.406236427773573                                 0.10863380627851262+0.012877699699820505j
5.568813990945273                                 0.11143854729600634+0.014548696300542795j
7.038135554931562                                 0.11489167169327522+0.01569135933699561j
8.895134973108236                                 0.11874944443915704+0.01600287634381762j
11.242100350620873                                0.12260507626818046+0.015336618196397983j
14.208308325339223                                0.12602516642425754+0.013783829653633279j
17.957144943716408                                0.12870188369023758+0.011628536808997158j
22.695105366946706                                0.1305159049596503+0.00922307466856325j
28.683168133420118                                0.13150438353192684+0.006885992984633192j
36.251170499885355                                0.13180276264749938+0.004863654501340347j
45.81597669054491                                 0.13160951273911273+0.0033246312607866277j
57.90443980602489                                 0.13116633551276802+0.0023465673414719643j
73.18242219076181                                 0.13072077475428961+0.0018944331559705957j
92.49147277217335                                 0.13046330407651188+0.001823874472586771j
116.89518164985776                                0.1304718149804263+0.0019322440745615308j
147.73776525985127                                0.13070309501199326+0.0020389630493110626j
186.71810912919207                                0.13104157768703228+0.0020508882275074515j
235.98334667821936                                0.13137736720187695+0.0019734476178436345j
298.2471286216894                                 0.13166142898104+0.0018639458670476844j
376.93909753883634                                0.13190344001315182+0.0017697395471078067j
476.39380104013406                                0.13213089295810906+0.001701919751816981j
602.0894493336137                                 0.13235806706848124+0.0016506156689431249j
760.9496685459883                                 0.1325857954974259+0.0016068299015928776j
961.7248711152964                                 0.13281235823163892+0.0015670768801277382j
1215.4742500762884                                0.13303679554206704+0.0015294902898626598j
1536.1749466718297                                0.13325795392713619+0.0014929098914140946j
1941.4919457438816                                0.13347510789562927+0.0014572585694206627j
2453.751106639822                                 0.13368870431077237+0.001422449143099124j
3101.168926574782                                 0.13389954113996796+0.0013870430878465795j
3919.406774847221                                 0.13410698662763668+0.001348238587282547j
4953.53520895918                                  0.13430776644986336+0.001303432000484525j
6260.516572014828                                 0.13449631879595322+0.0012522608573787499j
7912.342618981326                                 0.13466638629076494+0.001197795977236405j
10000                                             0.13481273150458847+0.0011465026630893256j
