% Model:              modelJ.mph
% Versjon:            COMSOL 6.0.0.405
% Date:               Aug 28 2023, 12:29
% Table:              Tabelle 1 - sjgma_eff ((dflux.u21-dflux.u22)*2*pj/(pj*L^2)/E0/(2*mu*c0))
% w                                               Normaljzed effectjve conductjvjty
0.01                                              0.1893351648426207+8.787912262920527E-5j
0.012638482029342977                              0.18933599076026014+1.1104544005030924E-4j
0.01597312280060254                               0.18933730823036585+1.403033633553158E-4j
0.02018760254679039                               0.1893394099483178+1.772390342779508E-4j
0.025514065200312887                              0.18934276200579797+2.2383573594604299E-4j
0.03224590545296395                               0.18934810301299776+2.825571976061946E-4j
0.040753929658717776                              0.18935659834904037+3.5643172269795795E-4j
0.05150678076168125                               0.18937008081964124+4.4911722098760936E-4j
0.0650967523045817                                0.1893913932333821+5.64904607723657E-4j
0.0822724134170047                                0.189424879900927+7.085772154879345E-4j
0.103979841848149                                 0.18947700411638754+8.849825626534685E-4j
0.13141473626117567                               0.18955696434304362+0.001098103518955354j
0.1660882782627716                                0.18967698313780723+0.0013494122218667254j
0.20991037201085547                               0.1898515053105007+0.0016355414182434801j
0.26529484644318974                               0.1900944094380882+0.0019461057028043113j
0.3352924149249558                                0.1904140987915589+0.0022637635969124333j
0.4237587160604063                                0.190808920691459+0.002568849932981829j
0.5355666917706899                                0.19126801690448939+0.002847532388361518j
0.6768750009458534                                0.19177998007498667+0.0030965584408462823j
0.8554672535565685                                0.19234294150600287+0.0033174607009590867j
1.0811807510766078                                0.19296476935440246+0.003502914337479342j
1.3664483492953259                                0.1936495134898588+0.0036278649688819514j
1.726983290659436                                 0.1943794383004619+0.0036568591394626777j
2.182644728397487                                 0.19510951483119296+0.0035662694844968207j
2.7585316176291843                                0.1957838289278846+0.0033641598595932614j
3.4863652276780877                                0.19636233204146994+0.00308897236438471j
4.406236427773573                                 0.1968351710923957+0.002788646693799625j
5.568813990945273                                 0.1972163594149669+0.0024998794096000067j
7.038135554931562                                 0.1975282537784352+0.0022414089874107533j
8.895134973108236                                 0.19779060971957113+0.002018994260146456j
11.242100350620873                                0.19801814091168865+0.0018326018257504154j
14.208308325339223                                0.19822228938363143+0.0016798411823523594j
17.957144943716408                                0.19841225418686168+0.0015562917343646214j
22.695105366946706                                0.19859440262976305+0.0014559607433481964j
28.683168133420118                                0.19877213102911298+0.001372731121500108j
36.251170499885355                                0.19894674891748332+0.0013013877649758951j
45.81597669054491                                 0.19911824842517778+0.0012377625099823525j
57.90443980602489                                 0.19928564422869954+0.0011789371543132793j
73.18242219076181                                 0.1994477636460505+0.001123538419963993j
92.49147277217335                                 0.1996042451704133+0.00107122622022429j
116.89518164985776                                0.19975571326586794+0.0010215200515541457j
147.73776525985127                                0.19990299359847935+9.730070534423568E-4j
186.71810912919207                                0.20004604175792706+9.235170262210123E-4j
235.98334667821936                                0.20018346065885126+8.709970518670223E-4j
298.2471286216894                                 0.2003127606943436+8.144404227663798E-4j
376.93909753883634                                0.20043113206581156+7.543807383863382E-4j
476.39380104013406                                0.20053628702818227+6.928248045833079E-4j
602.0894493336137                                 0.20062703132786788+6.32827711447236E-4j
760.9496685459883                                 0.20070360401382864+5.779364526753598E-4j
961.7248711152964                                 0.20076778062455208+5.315486009589622E-4j
1215.4742500762884                                0.20082269511833983+4.962084946330334E-4j
1536.1749466718297                                0.20087228120468106+4.73003778194887E-4j
1941.4919457438816                                0.20092037175847163+4.613211547727802E-4j
2453.751106639822                                 0.2009697568022939+4.591546849412021E-4j
3101.168926574782                                 0.20102151657149564+4.6394137364050644E-4j
3919.406774847221                                 0.2010749552089618+4.736300982505623E-4j
4953.53520895918                                  0.20112812437079716+4.8756271074178317E-4j
6260.516572014828                                 0.20117861876992424+5.068926929291673E-4j
7912.342618981326                                 0.20122433677256507+5.34532995666264E-4j
10000                                             0.2012639539618401+5.748054566895828E-4j
