% Model:              quartz_bsm.mph
% Version:            COMSOL 6.0.0.405
% Date:               Dec 1 2023, 11:32
% Table:              Tabelle 3 - Punktauswertung 1
% c0                     Phib (1), Punkt: 2       Qb, Punkt: 2             Q0, Punkt: 2
1.0E-4                   -0.09054707476240954     4.6206010728346554E-5    -0.003468403794618454
1.2589254117941674E-4    -0.0886082790474694      5.796289000842515E-5     -0.0037448241496000553
1.5848931924611142E-4    -0.08667028928479636     7.268989219842185E-5     -0.004044041326703452
1.9952623149688788E-4    -0.08472797374238529     9.113011788456015E-5     -0.004369098421125474
2.5118864315095795E-4    -0.08279552151556878     1.142067184922308E-4     -0.004719930071965829
3.1622776601683794E-4    -0.08086251860263129     1.4307197207018608E-4    -0.005100992715357866
3.9810717055349735E-4    -0.07893003773183548     1.7915676031009703E-4    -0.005515184597616782
5.011872336272725E-4     -0.07699871620773148     2.2423732786502475E-4    -0.005965866648631052
6.30957344480193E-4      -0.07506888197946605     2.805152067386334E-4     -0.006456930729450867
7.943282347242813E-4     -0.07314066293610152     3.5071412425589894E-4    -0.006992876906926721
0.001                    -0.07121194153954302     4.381991453928468E-4     -0.007579545292100465
0.0012589254117941675    -0.06928827913056514     5.471058430124487E-4     -0.008221265351354975
0.001584893192461114     -0.06736512728441255     6.825244776259326E-4     -0.008926277730382298
0.001995262314968879     -0.06544269890957685     8.506802120057413E-4     -0.00970253791349563
0.002511886431509582     -0.06352082007774927     0.0010591627435451458    -0.010559352554952087
0.0031622776601683794    -0.061599004629213985    0.0013171827988898695    -0.01150756701379294
0.003981071705534973     -0.059676502906546906    0.0016358576615208827    -0.01255976498522439
0.005011872336272725     -0.05775082601258394     0.002028532847696744     -0.013731255994722703
0.00630957344480193      -0.0558246408303486      0.0025110453846380093    -0.015036710958227865
0.00794328234724282      -0.05389349652885769     0.0031021382978371425    -0.016496631302595488
0.01                     -0.051955940490674375    0.003823668577141747     -0.018132375300238392
0.012589254117941675     -0.050010155278124586    0.004700847913520231     -0.019967852291655673
0.01584893192461114      -0.048054084316615835    0.005762351965134855     -0.022029411435809804
0.01995262314968881      -0.04608557809941647     0.0070402726576745496    -0.024345561366294278
0.025118864315095822     -0.044102574182420744    0.008569866694900138     -0.026946484661602828
0.03162277660168379      -0.042103313011553775    0.010389064105274638     -0.029863331673208728
0.039810717055349734     -0.04008659886433988     0.0125377217519027       -0.033127292563250525
0.05011872336272725      -0.038050716975344234    0.015056806340592015     -0.036770080957213305
0.06309573444801936      -0.035999637608105164    0.01798654319821233      -0.04081601001842236
0.07943282347242822      -0.0339337463184107      0.021366216602637537     -0.045291531868557215
0.1                      -0.03185713886308946     0.02523219660318238      -0.050216438274151017
