% Model:              quartz_bsm.mph
% Version:            COMSOL 6.0.0.405
% Date:               Dec 1 2023, 11:41
% Table:              Tabelle 3 - Punktauswertung 1
% c0                     Phib (1), Punkt: 2       Qb, Punkt: 2             Q0, Punkt: 2
1.0E-4                   -0.14712854199717743     0.0013599902942947452    -0.012105476616541105
1.2589254117941674E-4    -0.14496962112126507     0.001687291779025956     -0.01323676377056482
1.5848931924611142E-4    -0.1427856066424809      0.0020898739512463355    -0.014497135670627048
1.9952623149688788E-4    -0.14056411188736354     0.0025836849089115694    -0.015909769826047183
2.5118864315095795E-4    -0.1383238783971957      0.0031870978374552122    -0.01748183256004492
3.1622776601683794E-4    -0.1360442948843279      0.003921792098792017     -0.01924528034654359
3.9810717055349735E-4    -0.13372131997530592     0.004812400520124786     -0.021225195213595217
5.011872336272725E-4     -0.1313500882599807      0.005886645619576843     -0.023449198993934006
6.30957344480193E-4      -0.12892500555700712     0.007175162953427514     -0.025947206947255334
7.943282347242813E-4     -0.12644001657670428     0.00871109459892774      -0.028750858922023895
0.001                    -0.12387896142975793     0.010529995796841801     -0.031902837032892824
0.0012589254117941675    -0.1212622900754582      0.012666256757483823     -0.03540871252995384
0.001584893192461114     -0.11856181550607242     0.015156720239559121     -0.03932211822566048
0.001995262314968879     -0.11577682502671398     0.01803520251361811      -0.04366750424504187
0.002511886431509582     -0.11290349707460211     0.021332754705796615     -0.048469537834457566
0.0031622776601683794    -0.10993877948748844     0.025076178305961608     -0.05374843934498892
0.003981071705534973     -0.10688092495649304     0.029286932946984957     -0.05951878518909342
0.005011872336272725     -0.10372964958321775     0.03398039221485352      -0.06578895813150537
0.00630957344480193      -0.10048624377488406     0.039165506688652645     -0.07256093896851244
0.00794328234724282      -0.09715353039193014     0.04484487140111264      -0.07983053357611501
0.01                     -0.09373578182980835     0.051015169789518505     -0.08758789438345169
0.012589254117941675     -0.09023861696530967     0.05766792401523652      -0.09581824764765044
0.01584893192461114      -0.08666883576264281     0.06479042918999771      -0.10450277229478845
0.01995262314968881      -0.0830342631548904      0.07236679205981567      -0.11361950417808594
0.025118864315095822     -0.07934360987043955     0.0803789906002616       -0.12314419893178849
0.03162277660168379      -0.07560635222125091     0.0888078873193275       -0.13305111005304215
0.039810717055349734     -0.07183265228507751     0.09763416515527465      -0.14331364587828857
0.05011872336272725      -0.06802871896256633     0.10684096947499618      -0.15391606347265574
0.06309573444801936      -0.06421690039686481     0.11640671138115882      -0.16480518143796125
0.07943282347242822      -0.06040240581924192     0.12631873043187894      -0.17597104692277277
0.1                      -0.056598140087911926    0.13656409993552387      -0.18738774053778615
