% Model:              montmorillonite_bsm.mph
% Version:            COMSOL 6.0.0.405
% Date:               Mar 19 2024, 16:38
% Table:              Tabelle 3 - Punktauswertung 1
% c0                                              phib (1), Punkt: 2                                Qb, Punkt: 2                                      fQ, Punkt: 2
0.001                                             -0.143683769361694                                0.06826989226279999                               0.6826989226279999
0.0011721022975334804                             -0.13972290943702953                              0.06825508285462839                               0.6825508285462838
0.0013738237958832624                             -0.13576698456295266                              0.06823978192035542                               0.6823978192035541
0.0016102620275609393                             -0.13181680913910843                              0.06822435117609638                               0.6822435117609638
0.0018873918221350976                             -0.12787309433832547                              0.06820904459169375                               0.6820904459169373
0.00221221629107045                               -0.12393661346636593                              0.06819414964569102                               0.6819414964569102
0.002592943797404667                              -0.12000813726702894                              0.06817993147561711                               0.6817993147561711
0.0030391953823131978                             -0.1160885734366531                               0.06816675231951348                               0.6816675231951348
0.003562247890262444                              -0.11217895279200418                              0.06815505959242227                               0.6815505959242227
0.0041753189365604                                -0.10828043269592567                              0.06814538887029621                               0.6814538887029621
0.004893900918477494                              -0.10439433444495379                              0.06813839614100997                               0.6813839614100997
0.005736152510448681                              -0.1005221252750365                               0.06813484260004293                               0.6813484260004292
0.006723357536499335                              -0.09666546282407897                              0.06813563311828487                               0.6813563311828488
0.007880462815669913                              -0.09282622148015658                              0.06814183914588219                               0.6814183914588219
0.009236708571873866                              -0.08900650514187584                              0.06815470982107                                  0.6815470982107
0.010826367338740546                              -0.08520871332485835                              0.06817572858887849                               0.6817572858887848
0.01268961003167922                               -0.08143532887810667                              0.06820643045182838                               0.6820643045182837
0.01487352107293511                               -0.07768951329287802                              0.06824891139344329                               0.6824891139344329
0.017433288221999882                              -0.07397452451291653                              0.06830532618671431                               0.6830532618671431
0.020433597178569417                              -0.07029402325299706                              0.06837814705339004                               0.6837814705339005
0.02395026619987486                               -0.06665221505710069                              0.06847027837866267                               0.6847027837866266
0.02807216203941177                               -0.06305346657747775                              0.06858471893353792                               0.6858471893353791
0.03290344562312668                               -0.05950293297840086                              0.06872508375236258                               0.6872508375236258
0.03856620421163472                               -0.05600641819734935                              0.06889546287085978                               0.6889546287085978
0.04520353656360243                               -0.05256875973589254                              0.06909902754210666                               0.6909902754210665
0.05298316906283707                               -0.04919737140145544                              0.06934099892242626                               0.6934099892242626
0.06210169418915616                               -0.04589884378386564                              0.06962572102348616                               0.6962572102348615
0.0727895384398315                                -0.04268037416199371                              0.0699578184342156                                0.6995781843421559
0.08531678524172806                               -0.03954951020997996                              0.07034191117916101                               0.7034191117916102
0.1                                               -0.03651424374968278                              0.07078260806742438                               0.7078260806742438
