% Model:              montmorillonite_bsm.mph
% Version:            COMSOL 6.0.0.405
% Date:               Mar 19 2024, 16:45
% Table:              Tabelle 3 - Punktauswertung 1
% c0                     phib (1), Punkt: 2       Qb, Punkt: 2             fQ, Punkt: 2
0.001                    -0.14850618442668267     0.09093642144798886      0.7225085539703224
0.0011721022975334804    -0.14454275800790842     0.09091660722679787      0.7223511259115447
0.0013738237958832624    -0.1405852673648492      0.09089721718448046      0.7221970680410776
0.0016102620275609393    -0.1366330699244139      0.09087721802552415      0.7220381706137534
0.0018873918221350976    -0.13268676177469332     0.09085679016522635      0.721875867066182
0.00221221629107045      -0.12874706321427754     0.09083621508253432      0.7217123938064371
0.002592943797404667     -0.12481466136285015     0.09081571766919176      0.7215495376456332
0.0030391953823131978    -0.12089036241593581     0.09079561817688335      0.7213898430492102
0.003562247890262444     -0.11697506619974807     0.09077630677617476      0.7212364100024843
0.0041753189365604       -0.11306977140246185     0.090758248927442        0.7210929366837857
0.004893900918477494     -0.10917562078932379     0.09074203096114301      0.7209640816090814
0.005736152510448681     -0.10529386688362323     0.0907283262084335       0.7208551945327594
0.006723357536499335     -0.10142592235967936     0.09071794607509298      0.7207727222404647
0.007880462815669913     -0.09757338317659481     0.09071186393986794      0.7207243984263481
0.009236708571873866     -0.09373802672309862     0.09071121401450735      0.7207192346358118
0.010826367338740546     -0.08992186143263226     0.09071734164325804      0.720767919905338
0.01268961003167922      -0.08612721033681835     0.09073188725993026      0.7208834878186239
0.01487352107293511      -0.08235639948385778     0.09075647395111891      0.7210788341321778
0.017433288221999882     -0.07861241513895702     0.09079336445859165      0.7213719367942899
0.020433597178569417     -0.0748981484699481      0.0908447022227195       0.7217798258791412
0.02395026619987486      -0.07121783192924014     0.09091394283022931      0.7223299567333289
0.02807216203941177      -0.06757399513514029     0.0910028048081529       0.7230359834072423
0.03290344562312668      -0.06397215087369415     0.09111593790508342      0.723934849108882
0.03856620421163472      -0.060416679450023714    0.09125679624743425      0.7250539975823543
0.04520353656360243      -0.05691291745046136     0.09142969907869714      0.7264277461047169
0.05298316906283707      -0.05346615753655326     0.09163880585902423      0.7280891424415624
0.06210169418915616      -0.05008292279223667     0.09188933478918467      0.7300796462702344
0.0727895384398315       -0.04676973510776183     0.09218628938361148      0.7324390115410226
0.08531678524172806      -0.043533625108801544    0.09253489521076887      0.7352087564691225
0.1                      -0.040382307846899286    0.09294068206732017      0.7384328164252836
